Year,Real GDP (millions of 2012 dollars),Population (in thousands),Real GDP per capita (year 2012 dollars)
1870,127371.00,39905.00,3191.86
1871,133430.00,41010.00,3253.61
1872,144596.00,42066.00,3437.36
1873,156931.00,43225.00,3630.56
1874,159785.00,44429.00,3596.41
1875,159500.00,45492.00,3506.11
1876,166103.00,46459.00,3575.27
1877,174368.00,47400.00,3678.64
1878,179970.00,48319.00,3724.63
1879,200947.00,49264.00,4078.98
1880,217601.00,50262.00,4329.34
1881,244810.00,51466.00,4756.74
1882,257803.00,52893.00,4874.04
1883,264932.00,54435.00,4866.94
1884,260564.00,55826.00,4667.43
1885,261466.00,57128.00,4576.85
1886,282732.00,58258.00,4853.10
1887,303271.00,59357.00,5109.27
1888,320708.00,60614.00,5290.98
1889,329923.00,61893.00,5330.54
1890,361975.00,63056.00,5740.53
1891,366254.00,64432.00,5684.35
1892,384917.00,65920.00,5839.16
1893,362574.00,67470.00,5373.86
1894,345390.00,68910.00,5012.19
1895,384856.00,70076.00,5491.97
1896,378497.00,71188.00,5316.86
1897,394811.00,72441.00,5450.11
1898,437979.00,73600.00,5950.80
1899,467929.00,74793.00,6256.32
1900,479691.00,76094.00,6303.93
1901,505153.00,77584.00,6511.04
1902,531100.00,79163.00,6708.94
1903,546598.00,80632.00,6778.93
1904,527245.00,82166.00,6416.83
1905,586735.00,83822.00,6999.77
1906,610728.00,85450.00,7147.19
1907,626420.00,87008.00,7199.57
1908,558695.00,88710.00,6298.00
1909,599077.00,90490.00,6620.37
1910,605528.00,92407.00,6552.84
1911,625147.00,93863.00,6660.20
1912,654436.00,95335.00,6864.59
1913,680269.00,97225.00,6996.86
1914,628184.00,99111.00,6338.19
1915,645310.00,100546.00,6418.06
1916,734793.00,101961.00,7206.61
1917,716618.00,103414.00,6929.61
1918,781251.00,104550.00,7472.51
1919,787520.00,105063.00,7495.69
1920,780160.00,106461.00,7328.13
1921,762274.00,108538.00,7023.11
1922,804604.00,110049.00,7311.32
1923,910549.00,111947.00,8133.75
1924,938586.00,114109.00,8225.35
1925,960634.00,115829.00,8293.55
1926,1023405.00,117397.00,8717.47
1927,1033289.00,119035.00,8680.54
1928,1045131.00,120509.00,8672.64
1929,1110200.00,121878.00,9109.00
1930,1015800.00,123188.00,8246.00
1931,950700.00,124149.00,7658.00
1932,828100.00,124949.00,6627.00
1933,817800.00,125690.00,6507.00
1934,906200.00,126485.00,7165.00
1935,986900.00,127362.00,7749.00
1936,1114100.00,128181.00,8691.00
1937,1171100.00,128961.00,9081.00
1938,1132300.00,129969.00,8712.00
1939,1223200.00,131028.00,9335.00
1940,1331100.00,132122.00,10074.00
1941,1566800.00,133402.00,11745.00
