EUKLEMS code,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012
_1,4450.712891,4381.462891,4684.665039,4812.871094,4870.891113,4717.418945,4900.359863,4766.981934,4570.089844,4312.631836,4129.019043,4257.457031,4041.445068,3798.644043,3514.647949,3358.14502,3295.052002,3231.987061,3165.139893,3149.014893,2976.738037,2493.993896,2439.410889,2368.48291,2268.922119,2175.137939,2114.083984,2081.563965,2223.665039,2095.059082,2071.576904,2005.262939,1856.725952,1741.03894,1516.802979,1509.740967,1509.44104,1442.95105,1415.235962,1360.39502,1307.824951,1097.435059,1099.374023
_2,305.2879944,300.5379944,321.3349915,330.1289978,334.1090088,323.5820007,339.6409912,334.0180054,323.9110107,309.368988,299.9809875,298.5440063,272.5549927,245.3560028,216.352005,195.8549957,181.9490051,168.0130005,153.8600006,141.9850006,123.262001,108.0059967,110.5889969,112.5179977,113.0780029,113.8619995,103.9160004,95.43599701,94.33499908,123.9410019,90.42299652,59.73699951,142.2740021,135.9609985,232.1970062,237.2590027,211.5590057,227.048996,217.7640076,231.3009949,197.2310028,389.8009949,374.1380005
_B,90,115,232,302,276,298,274,241,260,244,225,245,299,270,183,179,185,180,165,146,137,123,117,112,110,114,105,108,79,83,81,83,70,73,76,68,64,56,60,56.52600098,61.29999924,54.46699905,54.50299835
_10,99.17299652,73.6969986,44.35900116,36.0890007,36.97900009,40.91999817,43.64799881,69.53800201,72.26499939,83.24199677,93.79699707,94.38300323,89.50499725,85.30400085,116.2559967,125.5630035,154.3009949,149.0200043,115.5029984,73.69599915,63.19900131,46.56600189,47.23099899,32.68899918,24.43600082,15,12.15999985,12.53899956,10.57299995,8.369999886,8.354999542,7.59499979,7.730999947,6.874000072,6.46999979,5.784999847,6.048999786,7.428999901,12.16499996,8.359000206,6.756999969,4.229000092,4.339000225
_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635999978,0.569000006,0.595000029,0.665000021,1.088999987,1.881000042,2.322999954,2.345999956,2.362999916
_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_13,3.062999964,2.276000023,2.400000095,6.422999859,7.989999771,9.826000214,10.48099995,8.68500042,9.026000023,9.732000351,12.59399986,15.57400036,7.098999977,8.076000214,7.921000004,8.114999771,11.58899975,7.046000004,3.736999989,4.428999901,3.391000032,1.611999989,3.665999889,1.822000027,1.276000023,0.652999997,0.737999976,0.850000024,0.662,0.319999993,0.405000001,0.34799999,0.243000001,0.126000002,0.090999998,0.167999998,0.287,0.259000003,0.294,0.59799999,0.972000003,0.851999998,0.776000023
_14,6.764999866,5.02699995,6.241000175,4.487999916,5.031000137,9.25399971,9.87100029,23.77700043,24.70999908,17.02499962,17.60899925,14.04300022,13.39599991,14.61999989,18.82299995,21.3220005,21.11000061,29.93400002,20.76099968,11.8760004,12.40999985,14.82199955,11.10200024,16.48900032,13.28800011,10.34700012,10.10200024,12.61100006,8.765000343,10.31000042,8.239999771,10.05700016,10.02600002,10,8.80300045,10.47799969,11.06900024,10.31200027,8.541000366,13.71800041,13.21800041,11.97999954,9.470999718
_15,92.28900146,96.9469986,70.39199829,69.63500214,69.83000183,135.8480072,165.427002,162.0110016,175.3170013,188.9459991,174.8919983,178.6380005,178.0370026,220.8639984,197.8410034,201.7319946,211.1629944,243.3800049,251.022995,239.6880035,279.6400146,325.2309875,308.302002,311.0950012,303.6830139,293.4410095,293.0939941,281.072998,246.75,282.0339966,286.9049988,257.7030029,280.4549866,273.5369873,277.3420105,267.5929871,251.5850067,246.2059937,251.3200073,286.3200073,284.3439941,248.8000031,253.6119995
_16,15.9659996,16.77199936,13.07600021,19.6779995,24.27199936,27.3390007,27.96999931,23.44000053,20.19199944,18.78300095,18.76199913,17.9489994,18.24900055,20.72599983,16.17000008,15.94200039,14.98900032,14.54199982,16.95100021,11.42500019,7.151000023,10.44299984,6.768000126,8.68999958,7.096000195,7.710999966,8.986000061,7.867000103,8.576000214,6.714000225,3.77699995,4.988999844,4.151000023,5.254000187,6.493000031,5.789999962,4.816999912,4.925000191,2.920000076,2.359999895,2.049999952,10.96100044,8.862000465
