EUKLEMS code,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012
_1,49565,56956,65338,79795,87576,119723,156452,193761,251505,351350,428383,501360,511705,611324,642089,666544,669861,702872,837856,861921,926357,934599,936592,1163150,1135968,1094459,1200300,1233055,1168925,1210427,1344197,1344778,1313827,1652773,1749258,1780322,1734248,1693219,1631689,1640221,1796599,2053849,2165415
_2,10931,11917,13523,17988,23664,30089,36311,47554,57721,64408,83520,96576,100086,129269,136742,128254,135754,141322,151107,154098,145070,140879,148767,160715,161443,163274,175981,188846,221068,232328,222213,224324,235582,227505,223761,216470,214708,240379,260914,302264,382404,350106,315651
_B,24122,34461,37691,62744,61282,88278,108484,171709,197674,263624,238136,315698,315647,384822,399578,478338,588233,611138,612354,684767,668404,789123,782633,833273,991119,1004294,1072121,1163320,1068730,1065170,1089008,1048418,922527,1006201,925020,885875,790133,823835,855055,1265490,1132093,1255076,1358593
_10,17567,20708,25868,31702,44693,72125,77296,116673,161900,204662,277680,276121,269075,247649,261313,556898,607843,623101,677367,565831,460320,358624,74517,66418,50413,156058,131586,144297,160116,138711,214061,109627,84868,94167,86085,83257,85995,91510,89813,72773,86996,86777,86539
_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1893,6395,5839,4410,3507,6059,7483,7558,7613
_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_13,1927,1620,1802,1890,3314,5543,6891,17580,9190,8561,14738,19283,17314,17593,18861,17396,17249,14343,13916,13308,11995,10942,7047,7820,7151,6672,7773,7283,6237,4482,4364,1616,2837,4757,11821,12626,14975,17636,33992,33326,39000,57057,83464
_14,7109,8765,8756,13873,22561,28400,33934,57251,85520,82216,119696,158291,155590,211493,246537,204828,218695,190044,214256,217543,273827,314271,273613,285759,334724,302538,490781,517858,442155,430744,429591,429413,452153,511904,559205,593352,573962,644068,794272,744302,717193,736427,756063
_15,32017,39773,49997,85985,92999,87567,157400,202927,250718,360339,459773,589301,703592,808851,971438,937500,1096770,1257865,1505597,1691893,1865698,2295018,2590386,3009983,3477028,3847479,4259060,4120042,3581988,3717430,4212165,4346963,4626052,4745092,5057656,5209881,5405866,5581062,5809070,5801301,6323204,6942677,7617115
_16,4397,2478,9679,9926,16840,16712,18321,28753,29679,27826,37224,30606,70345,89078,93361,75942,74479,96944,151014,147459,100054,72128,96495,111565,176787,102450,117848,121819,123785,153147,316575,274334,380650,402808,420374,390527,425126,439049,484426,451292,399082,407332,415677
_17,34729,44749,62809,83791,104030,143330,218408,268609,391413,512447,594377,745192,754275,837598,977255,1145505,1240246,1567439,1807945,1852176,1804195,2132731,2425415,2591625,2831290,3135518,3415205,3215409,2972663,3360476,3736849,3807306,3618043,3219738,3296771,3057554,2866834,2504923,2537654,2675454,2939180,3260412,3616310
_18,14694,18030,23731,39417,52960,77634,110184,140160,211776,285120,376237,459579,460904,512322,587931,708679,796053,996779,1117678,1193828,1163293,1381361,1486227,1485559,1616412,1109448,1180976,1291681,831715,1122492,1441001,1356906,1347420,1297675,1267188,1270519,1292565,1317085,1465411,1539869,1538403,1685917,1847041
_19,2317,3487,4327,8219,11703,16557,32111,37534,65856,83884,131015,144579,156608,202664,242680,297290,366232,428125,596424,551425,641244,773477,796296,603175,477404,784933,851625,806452,805654,958953,1016561,995488,942273,824198,747858,682635,676016,635131,604073,540497,643137,682924,724992
_20,9067,12149,10598,16266,13782,22853,34351,45694,63642,76010,72295,104683,102188,127589,158678,114966,125109,147370,176936,214369,255980,328733,390207,408765,459324,542225,517449,464405,332857,409873,466226,481897,563630,602297,667272,750104,762238,800088,801841,969960,957844,1054911,1161636
_21,7793,10908,13190,18674,31672,38104,57979,74222,88122,96633,127109,168367,162064,211025,254728,250939,305526,372128,475077,538302,594355,726231,819716,939763,1085594,1187499,1318611,1378411,1194745,1367720,1477811,1613541,1810609,1860127,1976945,2073644,2160826,2179497,2324812,2552960,2785168,2813326,2840957
_221,4378,5085,6622,6378,9622,11435,11115,18599,27970,31922,65899,91042,138345,197213,212455,290016,349779,347039,400551,480730,558560,721600,849172,1054675,1114414,1403019,1551007,1357161,1150327,1151232,1286819,1386447,1679897,1740223,1881007,1898515,1811823,1866679,1818669,1808949,1855142,1893392,1930075
_22x,3006,3674,4924,5334,7165,9449,12203,17384,24401,28585,49659,62447,75411,92164,93576,125397,160758,167274,196663,207907,232198,299425,338150,408081,445471,828452,857758,846466,778297,819304,805894,936482,1008040,1130422,1254444,1274686,1232066,1282772,1285942,1350250,1365335,1550693,1760887
_23,1979,2494,3190,4774,8845,12392,22459,31361,33222,37169,74822,95888,111690,129616,123109,140025,155472,165701,202527,249864,253266,815881,881033,1055376,795337,716016,875137,937366,1090727,1228353,1479463,1632217,2002576,2007118,2614747,2837920,2850826,2654541,2855527,2767218,3259557,3525748,3808678
_244,6351,9114,11339,15682,19936,23333,37811,45578,59637,72651,82448,91030,123605,162807,177323,178459,206658,270481,340060,403796,475677,594559,702812,846074,1007361,727005,814735,735807,602659,649202,651247,743007,819717,810503,781868,919037,991298,1018825,1080546,1075764,1155918,1200637,1245521
_24x,9974,12118,14434,22255,38356,63772,96636,134668,177068,242829,345856,416889,470008,559471,625586,606659,705198,895155,1104187,1248258,1582712,2011326,2439220,2737846,3095028,4182244,4548015,4676697,4293149,4375520,5033591,5605476,6028230,6536252,7293423,7789155,8092376,8211574,9037939,9103669,9560055,11889817,14784436
_25,5264,6349,7025,9548,13231,23545,41908,70829,88236,105106,162047,186828,213669,241887,321400,442910,502066,829155,1004009,1131333,1118934,1345180,1585426,1709208,2106970,2464605,2673401,2490611,2226200,2754788,2958274,3101878,3359987,3605235,3968195,4666643,4861704,5060762,5213443,5288000,5884932,6343154,6835940
_26,11060,13818,16150,20809,31094,47116,61514,89478,124517,196050,259714,292733,332399,449133,559334,541744,642828,758882,987711,1122465,1564845,2085845,2392028,2506488,2625633,2620691,2923134,2890392,2450416,2454896,2750536,2838897,3176212,3470900,3722970,3760642,3925231,4020022,4455194,4980674,5260566,5079561,4900968
_27,2049,3729,5092,11178,22935,20873,38299,57931,97441,178119,197122,270214,314243,376569,442280,447895,512596,682917,880498,1060095,1298907,1607838,1726999,1849431,2272112,2727825,3047307,2927528,2567665,2925842,3294135,3405476,3765589,3784406,4840006,5196997,5035414,5844559,5716465,7505568,8486165,9754728,11204453
_28,3127,4726,4647,6611,9570,15416,29983,53683,105120,154375,193002,298297,377541,493629,600158,540892,696565,829095,979422,1203417,1471900,1785786,2071943,2214050,2567485,3970524,4525846,4409778,4054387,4166454,4980179,5102101,5443558,5712400,6778953,7750231,8141419,8695080,8450746,8422504,10078527,11944381,14153380
_29,3882,4766,6351,10770,9864,25876,41188,61195,102111,132121,138944,163927,203076,288326,336861,395701,502268,695426,842156,1109928,1267938,1558122,1694625,1711862,2318276,3334576,3926220,4021356,2648682,2784035,3643408,4144083,4589744,5478026,6695902,7905350,8897044,9695248,10198191,10827591,12574731,13905599,15363442
_30,1130,1630,2410,4568,6015,9860,17808,22686,32821,45083,57200,68516,80539,111444,135124,159357,231841,358473,510165,585002,730737,682544,814386,894457,1241743,1817834,2040568,2638492,2739469,3074176,4335015,4562400,4450704,4145969,2820037,2851270,2835968,2872217,2356034,2313706,2550570,2515569,2474605
_313,1860,2442,2578,3068,4993,6392,10948,17161,29358,38820,44330,56618,62503,74262,86292,88143,84298,99440,138869,166925,172146,185979,199576,200616,210550,423032,693409,541754,500495,591467,582707,708741,766011,789335,1008240,1074152,1680165,1944180,2017656,1728642,1994519,1738919,1514037
_31x,2281,2978,3447,5508,11132,12287,33915,57867,126374,176700,148048,184653,202812,274404,358613,353634,440359,627666,952135,1072677,1052244,1230910,1298610,1268526,1339919,2154426,2678123,2711164,2339503,2745323,3310940,3637824,4235722,4597342,4620192,4821837,4677938,4996697,5453491,5901466,6736725,7554309,8463120
_321,1169,1500,2309,4975,8404,15606,38672,45230,48293,95556,115147,152665,144555,188737,244631,237068,349449,565649,822094,778663,1200320,1168969,1400991,1785391,2416968,3464017,3848793,3560781,5123345,4849603,5481810,5278133,5667147,6391759,8191081,8955102,9888545,10927510,11371063,11293713,12949449,13299882,13601547
_322,667,1258,2422,5693,9904,8253,21427,33068,53683,78857,106412,170086,180426,249608,351914,358839,329418,348593,394175,386406,348289,406874,435036,513847,715633,987669,1240579,1509619,1361418,1362879,1616897,2039029,2273700,2253971,3334603,3482203,3672787,3656548,4024514,3865898,4230738,4443058,4656442
_323,1411,2664,5126,12051,20967,17471,24364,29962,43099,58695,75195,98767,90688,112203,144648,137029,351386,563385,814689,944032,961986,851405,763404,797077,1012653,1664830,1557681,718321,680044,501776,610806,667194,670228,636316,914532,794124,762208,758838,835202,802284,877999,922061,966344
_331t3,1789,1909,2145,4543,7863,13249,25122,29828,48399,57319,68476,77003,79833,89144,116741,155473,188822,220281,261082,268920,354935,408022,458327,551097,703832,874185,913847,1032148,761111,992105,1050168,1138506,1247076,1341133,1669894,1904493,2061398,2273631,2258146,2311033,2677220,3091016,3568329
_334t5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_34,14950,14898,12733,20057,30396,43428,59526,80931,142401,157909,144314,191297,248332,383521,411351,465535,673887,1065421,1581678,1695523,2296516,2763285,3007330,3573020,4737479,5697280,6643510,6462439,4841712,5870263,6889371,7396919,7801297,8614291,10742210,11582500,13066423,14549694,14029931,13829640,18061384,21427550,25417428
_351,2473,2982,4056,8527,25922,40147,28917,29919,48336,50706,63468,113181,137406,137319,253241,247410,182791,143587,195803,211291,323393,376456,400268,506806,571212,1418473,1633983,2030971,2536589,2633500,2543741,3029750,3167464,3602237,4155278,4476434,5076533,5632243,6611804,7250275,7034092,7881030,8812813
_353,0,0,0,0,0,0,12453,15587,27075,29511,37826,77351,102977,109998,213352,216856,165099,132212,182726,199136,307107,432353,531416,755106,935420,164931,164214,259622,317381,178321,281788,306778,311604,322852,343327,286626,355445,383645,395942,378704,373734,374550,375313
_35x,1281,1597,1885,2860,4485,6693,9052,8833,13179,16205,22335,29467,33826,40247,49786,48528,49888,51866,69502,75178,109651,128722,130799,187465,215679,287328,316687,339350,294138,344954,255545,270102,329261,325669,318200,285474,239661,258675,266967,255344,251993,252544,253058
_36,5194,6641,7850,13537,16418,22039,37314,56778,73761,105363,148107,194356,225409,296621,317426,361167,493898,558890,788825,831180,939119,1202055,1214897,1325692,1420975,1555516,1652972,1654732,1409070,1510097,1628143,1729877,1839170,1948668,2197016,2318211,2535619,2742482,2710694,2960906,3029840,3323755,3645640
_37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_40x,9529,9963,16337,16789,18816,27017,33922,56588,75059,105644,151560,167701,179559,291347,226702,366441,353870,397130,435258,572809,616657,733695,760128,876148,1000912,965001,1433564,1415125,1421480,1470019,1360376,1689621,1946082,2070111,2310582,2464330,2741550,2985975,2154085,3345921,3631433,3827608,3984123
_402,19,19,44,59,188,361,527,825,1238,1921,2401,5336,4968,6414,11010,9300,14385,22388,28972,40071,49217,102865,62337,82688,103455,118915,176972,184190,204770,262280,334870,399721,457780,496059,527721,646585,672532,709483,895204,1051764,1063319,1076399,1088788
_41,448,704,912,1039,1490,2301,3432,4903,6427,8709,15792,21645,26299,31896,34528,51219,55171,64674,79769,103206,127292,171072,163783,199442,224462,296658,352589,378162,375051,375010,317836,436133,486625,575440,655881,666908,700362,759982,849463,808476,807285,834710,862918
_F,63273,66486,75615,110829,142269,211714,284921,487903,1091174,1641586,1791327,1809864,2111638,2587539,2962171,3236175,3473368,4444788,5818983,8149310,12808460,16593351,17932979,20331260,22122368,25664892,30101523,33679736,29378900,27410683,27476569,31063504,34381340,40855340,43923388,44757309,44358127,46421527,47540061,48853946,49898149,50380844,50779946
_50,4645,5630,6399,8852,12821,14734,18775,22048,31252,33644,42838,49061,57892,70509,73780,79402,91398,105479,116451,143659,207727,291980,366806,469847,622942,783899,867607,884787,719254,1005133,1065300,1218165,1247163,1421863,1368019,1453430,1511902,1634992,1780034,1782770,1908076,2061598,2227252
_51,46700,58944,74266,97236,141896,170887,206337,238088,297685,363591,425361,550809,634868,741662,893205,976584,1160822,1467898,1658673,1741404,1974405,2524688,3103671,3716603,4616516,5587924,6197988,6015257,5480958,6792334,7480639,8392329,8397440,8773452,8964562,9311862,9596144,10030941,10070815,10920777,11740336,12940345,14261893
_52,56211,70871,88988,117001,170782,206201,249664,289786,367007,447823,528399,675600,779090,913730,1091606,1199027,1420506,1779676,2015829,2150311,2498363,3190871,3889058,4647909,5766171,7294047,8171122,8073240,7322695,8923630,9803672,11036517,11117934,11701266,11970771,12438301,12839517,13881468,15107357,15133762,16205929,17506897,18910343
