EUKLEMS code,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012
_1,3347781.75,4465781,5714002.5,6562088,6262259.5,7314459,9224947,11650655,12111062,12589222,11538473,12091753,13172455,14848149,16971504,18399206,20471010,23122010,23488536,25997600,27253552,29187190,31302212,34382288,37598140,40584728,43770936,45601072,46948092,49152040,52004000,54756896,57280984,59536392,61201372,63074744,65205520,67537136,69821560,72038776,74557128,77074312,79527112
_2,78838.90625,81622.85156,81056.08594,72246.71875,53510.375,48508.74219,47482.38672,46542.51563,66326.17969,86801.375,90490.07813,103065.7734,119429.8672,142111.2344,169630.5,189687.2656,217657.7188,252936.7813,303894.0625,413826.1875,492534.8438,582482.125,673516.75,782712,897077.125,1006981,1128386.625,1200693.25,1282002.125,1389255.75,1515650.25,1633321.5,1738745.625,1831344,1903866.625,1981603.25,2066198.75,2155952.75,2243129.5,2327184.25,2419822.5,2511550,2600421.75
_B,1117171.5,1293198.875,1435864.5,1430936.25,1184989.25,1201076.75,1314490.875,1440619.125,1434895.625,1429200.375,1271738.5,1303961.125,1395529.25,1546911.125,1742999.125,1869421.25,2056840.75,2298438.75,2263960,2388782.5,2415495.75,2503796.5,2611482.25,2803614,3003676.75,3183900.25,3369892.5,3472840,3336238.25,3326349.75,3414371.75,3518228.25,3623636,3723696.75,3792869.25,3896948.25,4037198.25,4205826,4379318,4554606,4762592,4974964,5184743
_10,277248.8438,314235.4375,355874.9688,391015.375,363418.5,377883.9688,405023.1875,438266.8438,500109.4375,539979.3125,533138,603806.8125,717620.375,838990,981785.4375,1096539.25,1248378.875,1344303.25,1190519.5,893313.0625,827040.5625,682107.4375,607782.3125,577072.125,482509.5625,458346.625,423480.5938,364025.3438,405908.875,439270.0625,547781.625,597056.5625,619340.875,639781.6875,669053.25,690480.125,724126.5,759615.0625,792358.9375,819670,850621,880161.5,906575.9375
_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8237.25,22578.23633,34380.71875,40807.32813,43055.35938,52205.06641,61012.04297,65779.375,69369.42969
_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_13,203788.5938,212056.6875,220485.9688,222414.9844,189785.9063,181176.5938,178283.1094,177115.1094,166741.2969,153845.1875,135022.7813,137790.8594,151517.2188,167163.4219,186347.5156,200103.3906,221453.875,233454.4531,198853.875,140190.7813,121196.2422,91544.64063,73145.92969,60444.05078,41915.88672,32710.00781,22564.01953,12412.5127,13497.18066,14272.58008,15616.31543,16451.54883,16664.07617,16333.83594,15636.04199,14927.78223,14226.64648,13596.13086,13025.4082,12505.72168,12035.62695,11607.24121,11214.9707
_14,108996.8203,134124.0156,164913.4688,196725.125,198509.0781,224098.5781,260776.125,306361.2813,336996.6875,354536.4688,344035.8438,384250.7813,452318.4063,525264.1875,611363.625,679963.75,771855.1875,829377.6875,826683.4375,725640.8125,772165.125,735088.375,753356.5,820456.9375,786711.125,830303.875,856566.3125,817857.5625,915888.4375,992649.1875,1028715.438,1108468.875,1223057.125,1341533.375,1439169.5,1506844,1574841.875,1648118,1713482.875,1763523,1824478.125,1881999.5,1931387.75
_15,1184048.375,1467491,1711033.375,1850863.875,1764277.5,1831119.375,2161579.5,2487969,2949791.5,3280061.5,3124460.25,3422280,3800135,4287171,5063922.5,5881546,6935637,8560736,9202622,9938925,10839664,11469534,12109485,12973304,14051759,14755466,16894458,18320408,18040744,18143522,18842424,19570058,20495878,21182756,22123350,22653442,23079702,23593682,24048496,24438384,24983972,25498086,25945500
_16,463580.8125,573073.75,666457.75,719064.25,683658.4375,707730.75,833300.5625,956653.1875,938765.5,893864.625,771900.0625,785220.4375,820131.5625,879808.5625,986115.75,1091431.75,1231151.5,1456737.75,1310900.875,1165801.25,1015814.75,845738.625,718667.4375,622917.5625,502179.3125,341626.125,210736.4531,67798.82813,116966.5234,181677,217984.0469,322400.3438,452350.9063,993817.8125,1025819.625,973927.6875,1007941.25,1046145.938,1080204.375,1109726,1146923.5,1181700.625,1212226.5
