EUKLEMS code,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012
_1,10952.09082,10781.68359,11435.09668,11760.22559,12164.74512,12858.64648,13357.30371,13034.04395,12534.32617,11864.65723,11394.41797,10713.0293,10231.31738,8731.456055,8104.070801,7767.476074,7645.352051,7522.383789,7389.672852,7374.783203,6992.835938,5876.816895,5765.826172,5615.295898,5395.651855,5188.346191,5057.994141,4995.231934,5352.307129,5057.898926,5016.309082,4800.611816,4472.098145,4188.633789,3739.489014,3323.610107,3382.89209,3119.667969,3019.270996,3068.812988,2901.753906,2366.37207,2347.75
_2,879.2280273,865.5479736,767.2420044,758.5819702,737.7119751,827.1220093,868.1710205,925.2750244,897.2769775,761.4229736,696.4520264,630.5239868,637.0549927,628.7689819,551.8200073,497.1679993,459.6640015,422.4219971,384.9750061,353.5429993,305.4289856,266.3179932,271.3479919,274.7160034,274.7139893,275.2399902,249.9380035,228.3860016,224.6100006,293.5979919,224.772995,141.0079956,304.730011,304.6059875,539.1989746,503.8619995,456.9830017,471.6140137,437.072998,491.9089966,418.572998,809.4530029,737.6519775
_B,226.3190002,289.1849976,629.973999,848.9130249,613.0059814,726.5679932,668.052002,655.132019,706.7810059,658.5510254,565.3209839,631.7680054,733.7349854,742.6329956,501.4880066,488.7139893,503.2229919,487.7999878,445.480011,392.70401,367.1099854,328.3500061,311.1480103,296.7170105,290.3049927,299.7080078,274.9840088,281.7470093,205.2929993,214.8480072,206.2089996,192.246994,160.8899994,175.3549957,190.6199951,157.2400055,144.1549988,127.6480026,126.1760025,125.1740036,134.5449982,117.9260025,110.0179977
_10,197.2590027,146.5870056,99.60700226,74.19300079,84.69599915,109.5070038,116.8069992,176.9559937,183.8950043,220.2539978,225.9660034,225.1519928,218.7259979,202.4490051,284.6459961,286.6300049,362.7579956,316.4159851,250.3170013,154.7819977,137.5410004,86.77400208,101.2519989,70.29100037,52.40499878,32.15599823,26.28899956,26.42499924,21.37000084,20.43300056,18.41699982,16.18099976,15.64500046,13.68200016,13.88399982,11.1619997,11.95499992,13.80700016,24.07699966,16.68799973,12.81200027,8.654999733,8.647999763
_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.363999963,1.097000003,1.486999989,2,3,5.183000088,6.401000023,6.465000153,6.512000084
_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_13,6.809000015,5.059999943,5.070000172,14.25599957,17.35700035,26.4659996,28.22999954,21.4260006,22.2670002,27.7859993,31.4260006,38.07500076,17.31800079,19.55400085,19.24799919,19.20999908,27.3920002,16.25799942,9.319999695,10.4119997,8.399000168,3.779000044,9.468999863,4.664000034,3.096999884,1.516000032,1.825999975,2.200999975,1.667000055,0.867999971,1.023000002,0.907999992,0.735000014,0.324999988,0.280000001,0.430000007,0.824000001,0.671999991,0.736999989,1.68900001,2.285000086,2.055000067,1.838000059
_14,14.89599991,11.06900024,14.75699997,11.06400013,13.82800007,27.20499992,29.0189991,66.16000366,68.7539978,50.5,46.88499832,37.23699951,36.68399811,40.8219986,48.29399872,50.79000092,52.19800186,71.6289978,53.17499924,30.22500038,30.19300079,36.99100113,30.42099953,46.15800095,36.72600174,27.83600044,28.34000015,33.22299957,22.58600044,28.83600044,21.87999916,29.34600067,26.90399933,27.48200035,25.30999947,27.76499939,29.45299911,28.08699989,21.31299973,34.85400009,33.5719986,31.01199913,23.77700043
_15,232.5350037,244.2720032,183.927002,181.9640045,188.8619995,412.5119934,502.3320007,491.1990051,531.5390015,584.3439941,492.526001,499.25,496.0169983,634.5809937,566.9849854,564.5930176,588.0490112,694.8770142,698.8029785,656.164978,751.5050049,837.1030273,819.5510254,852.0689697,816.0059814,820.4439697,771.585022,720.6339722,644.8510132,753.6420288,762.5280151,671.0980225,736.8289795,703.9869995,736.9979858,678.3400269,644.8900146,589.3109741,603.3920288,701.2459717,694.4370117,605.3629761,600.4619751
_16,34.48699951,36.22800064,28.3010006,42.67499924,52.74200058,59.52399826,61.02000046,51.23899841,44.22499847,41.22000122,41.25600052,39.54499817,40.28499985,45.84199905,35.83499908,35.39899826,33.34799957,32.41699982,37.86000061,25.66399956,16.25900078,22.47100067,15.21800041,22.08600044,17.19799995,18.97599983,21.66399956,18.3390007,19.51300049,16.00600052,9.098999977,13.1960001,9.366000175,12.39599991,14.85000038,13.00599957,9.836000443,11.31799984,6.293000221,5.348999977,4.55700016,24.31699944,20.23399925
_17,596.0839844,626.1710205,914.1069946,1471.260986,1468.557983,1530.635986,1863.915039,1615.157959,1747.802979,1881.574951,1553.062988,1620.177979,1498.077026,1023.758972,1539.949951,1515.831055,1559.68396,1757.078003,1759.17395,1776.811035,1534.534058,1633.256958,1527.235962,1231.937988,1410.237061,1307.998047,1112.373047,953.8010254,839.5889893,955.2769775,1066.349976,987.4840088,908.4569702,835.9869995,789.8640137,654.992981,540.03302,497.0119934,454.4060059,398.9750061,428.427002,325.9169922,330.0429993
_18,447.8070068,470.4100037,640.6849976,522.9260254,580.7349854,764.4240112,930.867981,892.4199829,965.710022,948.460022,838.0700073,894.1489868,1017.317993,1061.873047,943.6539917,1071.491943,1016.148987,1138.409058,1029.463989,1022.921021,1025.609985,973.5900269,832.1970215,843.9799805,756.53302,743.6300049,647.6849976,577.7180176,452.3429871,493.0639954,529.4829712,504.3059998,458.9259949,430.6489868,404.6419983,364.4179993,284.2680054,266.7189941,228.0879974,266.151001,287.42099,260.4760132,251.6159973
_19,165.4230042,173.7720032,241.8430023,298.5230103,416.1749878,462.2619934,562.9140015,565.6270142,612.0789795,582.4030151,610,635.75,766.1890259,945.9520264,897.177002,865.7730103,1014.458984,1254.571045,1302.114014,1127.249023,1186.186035,842.4000244,750.1859741,544.7529907,381.605011,327.2529907,249.8130035,219.9429932,171.9459991,208.102005,230.8110046,206.5919952,172.4250031,152.6289978,145.0339966,119.1989975,100.8529968,75.02899933,62.51699829,74.77700043,91.80400085,136.5690002,115.9059982
_20,559.9190063,588.1799927,288.3200073,205.7899933,216.1569977,221.8950043,270.2099915,323.5939941,350.1690063,266.0610046,218.8179932,186.4470062,165.8710022,188.2559967,178.8150024,148.2369995,149.2630005,169.9559937,176.151001,185.8179932,170.9660034,125.1959991,152.5180054,146.6159973,131.8399963,134.0339966,119.7070007,111.2249985,70.51300049,100.4160004,102.3059998,91.88600159,99.33799744,96.83100128,103.9089966,93.55400085,103.4680023,88.40299988,83.2009964,85.56099701,102.7170029,128.1060028,114.1240005
_21,111.2870026,116.9039993,102.3610001,97.80899811,108.2600021,155.3040009,189.1199951,200.0149994,216.4409943,229.878006,232.1170044,219.0970001,218.7579956,251.7910004,247.4230042,249.7799988,265.7669983,297.0610046,319.9179993,327.7850037,324.8580017,266.6289978,295.4840088,292.6629944,297.8389893,258.9960022,278.0039978,256.0169983,201.0119934,249.8220062,247.9499969,234.2709961,255.4530029,240.3350067,254.8910065,239.4309998,238.022995,210.4550018,186.723999,183.2369995,182.3029938,212.5619965,200.8329926
_221,47.83800125,50.25299835,67.46900177,55.72900009,49.60599899,70.33100128,85.64499664,93.15399933,100.8040009,106.7549973,106.1930008,96.50099945,126.625,117.3970032,128.9649963,122.5370026,127.5360031,132.7910004,125.4690018,136.3710022,134.7669983,160.7389984,174.673996,216.0149994,204.6710052,180.5200043,241.223999,198.3860016,167.2890015,191.7610016,200.9589996,196.0379944,183.348999,182.6549988,198.7700043,170.147995,164.3609924,128.0540009,107.8190002,132.1849976,135.7890015,129.0180054,119.9599991
_22x,16.74600029,17.5909996,21.12599945,14.31299973,19.76499939,15.2840004,18.61199951,17.76000023,19.21899986,23.85300064,21.94199944,24.64500046,25.52899933,29.12800026,67.34100342,70.73000336,80.79499817,74.20200348,96.0530014,118.8320007,125.2659988,137.0070038,142.0200043,141.1269989,167.3910065,202.7129974,129.2920074,164.1239929,121.0569992,200.7129974,138.2929993,158.9609985,171.1660004,172.1809998,181.6380005,153.0910034,143.5480042,161.1230011,137.572998,115.2519989,143.9400024,148.4779968,139.6779938
_23,21.26199913,21.71500015,19.33699989,20.23600006,29.43899918,37.3219986,52.23199844,60.08200073,53.99399948,50.47200012,60.8409996,64.96399689,66.31700134,65.57499695,71.45700073,72.20500183,79.3769989,71.87999725,83.55699921,95.16600037,86.35299683,201.0919952,203.4909973,178.3300018,129.3439941,105.3420029,109.4960022,122.9929962,143.4799957,149.1139984,146.0720062,135.7070007,152.3500061,141.1380005,169.5070038,157.6620026,142.5789948,122.5090027,134.9069977,130.8110046,156.7089996,151.8289948,126.2440033
_244,65.29599762,75.93399811,69.97200012,62.68600082,67.59200287,72.16400146,90.3030014,84.11299896,93.36499786,96.54000092,65.86299896,61.96099854,69.95999908,82.68199921,96.51200104,85.26599884,98.21099854,116.6320038,136.4290009,142.9340057,156.7660065,133.2369995,152.9120026,142.7120056,162.9279938,102.4629974,100.7340012,90.71700287,75.81600189,77.65000153,66.0059967,64.69999695,65.17199707,59.40299988,51.97499847,52.97000122,51.92399979,49.38199997,51.17599869,50.26800156,55.8429985,50.59600067,40.9659996
_24x,102.6709976,101.0950012,89.11299896,89.02600098,130.0709991,194.7480011,227.8789978,245.651001,274.0029907,320.1990051,276.1740112,283.2799988,266.2869873,283.20401,340.4960022,289.8259888,334.9179993,385.7609863,443.2369995,441.8540039,521.9899902,450.723999,530.7050171,497.7890015,567.5479736,655.1190186,641.2960205,625.7160034,570.8480225,549.5700073,510.1679993,488.1170044,479.2789917,479.052002,484.8359985,448.9400024,423.8770142,398.0090027,428.0509949,438.1960144,488.5409851,550.0629883,515.257019
_25,124.6480026,130.9400024,161.5140076,187.7109985,219.8059998,222.7910004,271.3009949,276.5079956,299.2160034,334.3110046,285.57901,262.822998,297.0499878,314.980011,280.3370056,329.5020142,365.2090149,383.8349915,404.2730103,377.2900085,397.6719971,620.2800293,605.1110229,594.5120239,642.7620239,624.7919922,615.0560303,578.960022,489.6650085,516.0410156,588.8439941,603.3359985,638.2020264,688.1019897,772.6799927,780.4320068,744.802002,722.1450195,690.6290283,709.3120117,709.5089722,561.9810181,555.9140015
_26,98.90599823,103.8980026,90.6740036,91.21600342,119.1159973,218.3950043,265.947998,306.7139893,331.9030151,376.1820068,349.2399902,341.3999939,347.4230042,411.4240112,384.5429993,403.1019897,431.9190063,437.9979858,475.4719849,486.3720093,519.2869873,576.7039795,629.5739746,658.6389771,654.5380249,623.4379883,600.1110229,574.5219727,418.303009,403.5270081,467.4649963,396.9559937,413.8739929,372.2510071,395.6499939,377.881012,349.8779907,322.5710144,297.7690125,310.7869873,333.6090088,377.0409851,365.0169983
_27,106.4860001,111.8610001,63.31299973,96.89099884,156.1040039,183.6990051,223.697998,328.1560059,355.1059875,365.2820129,345.3450012,280.1459961,247.1750031,304.9869995,334.9769897,336.1130066,369.5249939,336.2250061,373.6870117,439.6130066,447.0700073,415.0329895,541.4249878,517.65802,516.072998,514.3850098,487.0690002,463.5929871,420.9200134,455.4110107,515.5999756,540.9050293,539.789978,514.8070068,503.8510132,474.3460083,493.256012,483.6459961,593.8920288,592.3790283,586.5739746,676.177002,635.6069946
_28,54.70600128,57.46699905,58.60100174,74.18800354,92.8259964,243.6849976,296.7449951,399.4360046,432.2390137,426.743988,476.0390015,449.9559937,382.9760132,531.6489868,474.8729858,592.9089966,667.4279785,667.5209961,625.8480225,728.5759888,798.3530273,906.0009766,863.6439819,742.8250122,858.4920044,861.2639771,769.4039917,730.1920166,574.6989746,658.5449829,707.5020142,754.40802,708.2769775,699.4509888,735.2379761,832.723999,825.651001,884.0170288,857.1719971,928.4439697,1040.140015,806.9749756,819.684021
_29,92.96700287,97.66000366,54.57899857,50.56800079,94.49099731,243.5899963,296.6289978,423.1919861,457.9460144,349.8429871,446.4299927,472.2309875,539.9470215,558.4650269,597.6929932,612.3430176,661.8569946,909.5560303,949.8040161,1114.615967,1084.046021,986.6140137,1009.286987,1384.896973,1454.805054,1315.626953,1257.261963,1175.333008,956.1209717,1011.297974,1135.099976,1098.822021,1090.876953,1137.370972,1188.322998,1120.371948,1124.093018,1128.786011,1138.430054,1206.206055,1252.609009,1038.746948,987.6430054
_30,45.54800034,51.60800171,58.40000153,129.0939941,107.4960022,97.01100159,97.15899658,97.1269989,78.8010025,76.94300079,106.064003,77.55200195,137.8079987,140.7850037,114.0039978,141.4779968,173.2180023,240.1340027,258.2470093,269.9150085,280.5610046,240.8339996,234.8350067,86.47200012,133.595993,187.9029999,89.14700317,86.26100159,155.4450073,175.5460052,125.7900009,154.5500031,186.3470001,184.2030029,172.0379944,197.5090027,143.8910065,106.4599991,121.2369995,93.26300049,107.7310028,70.08999634,72.61499786
_313,69.80999756,71.95800018,61.08300018,74.25900269,73.79299927,54.90000153,52.14300156,67.8239975,65.06900024,61.38100052,80.81800079,62.54399872,100.6729965,90.70600128,72.30000305,76.71499634,62.95700073,67.08999634,68.47899628,73.34700012,63.54000092,63.50799942,57.14699936,145.2599945,156.1920013,107.9380035,84.40299988,76.95700073,63.31900024,64.72499847,69.18000031,62.31100082,59.72000122,60.58399963,61.40399933,60.20299911,59.1780014,56.02000046,63.51499939,61.64199829,68.28600311,76.56400299,72.73300171
_31x,85.54599762,87.73899841,81.73999786,133.4230042,164.7640076,106.3509979,162.7839966,230.4519958,282.2330017,281.2600098,270.7969971,205.4299927,328.0929871,335.4370117,301.144989,309.4179993,329.4070129,423.375,470.3169861,473.3850098,391.0620117,420.3330078,371.8469849,443.9790039,461.7749939,534.927002,522.9019775,505.0849915,373.822998,405.6520081,456.9930115,461.7080078,484.4129944,486.381012,530.1619873,473.144989,462.1300049,445.2550049,484.5020142,485.928009,452.79599,540.0050049,543.3400269
_321,75.33699799,60.81200027,55.61999893,67.51300049,95.79599762,195.4819946,288.644989,236.2899933,203.7299957,314.9450073,264.375,196.1920013,184.2339935,256.322998,276.2520142,260.8359985,350.3150024,568.1019897,643.4829712,556.2739868,684.3449707,701.5479736,726.7969971,619.723999,516.1220093,692.5859985,710.4130249,739.9810181,678.3400269,813.2160034,750.007019,818.742981,734.2890015,754.9069824,933.9420166,891.1680298,903.9470215,924.835022,933.4539795,965.7139893,1057.876953,934.3740234,1032.577026
_322,42.9640007,51.01200104,58.33200073,77.25299835,112.8949966,103.375,159.9320068,172.753006,226.4689941,259.9060059,244.3190002,218.5789948,229.951004,338.9909973,397.4020081,394.8160095,330.2349854,350.105011,308.5360107,276.0469971,198.5720062,244.1820068,225.6849976,205.9980011,137.772995,161.5180054,159.9949951,135.8619995,111.0650024,120.586998,118.1190033,135.7810059,134.1000061,132.3580017,143.1080017,136.2819977,149.5420074,156.2140045,162.8970032,102.3880005,109.9789963,85.47399902,82.72699738
_323,90.95400238,107.9919968,123.487999,163.5429993,238.9980011,218.8450012,181.848999,156.5279999,181.8179932,193.4539948,172.6470032,126.927002,115.5810013,152.3820038,163.3450012,150.7669983,352.2569885,565.8280029,637.6879883,674.4119873,548.4630127,510.9639893,396.0339966,232.7720032,298.9549866,344.6629944,362.70401,337.071991,328.071991,271.3139954,209.4929962,221.0980072,187.3179932,162.7310028,217.9720001,201.6649933,205.9810028,155.923996,181.2489929,108.4430008,103.6620026,76.23799896,68.84300232
_331t3,15.84000015,16.63999939,25.24799919,33.47499847,48.16600037,86.52500153,105.3649979,142.3090057,153.9960022,159.3450012,124.0400009,129.7910004,153.5829926,176.8070068,182.1300049,192.4380035,195.1190033,261.1799927,216.4759979,266.8909912,252.9170074,137.9720001,173.7920074,165.4649963,182.3990021,184.7019958,171.227005,162.8379974,157.0630035,184.4649963,200.8990021,193.1589966,198.6569977,183.8190002,201.4589996,194.8910065,219.0980072,217.052002,215.3399963,235.427002,234.0599976,448.1149902,436.6549988
_334t5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_34,26.91699982,28.27499962,45.14099884,44.58399963,95.00099945,147.7720032,179.947998,177.4620056,192.0359955,274.7600098,193.1230011,166.1239929,191.048996,271.3789978,245.8170013,248.0529938,359.7510071,505.2130127,606.9359741,636.2089844,670.7030029,762.3610229,863.2520142,927.8720093,854.4359741,919.7009888,1012.987,1103.427002,850.3959961,811.992981,1000.252991,886.1090088,818.6259766,874.0650024,962.6019897,1004.932007,1006.007019,994.4689941,958.5780029,1038.890015,1144.784058,1229.260986,1084.722046
_351,24.57699966,25.52700043,45.56299973,58.57300186,109.0400009,142.6970062,117.637001,118.8759995,127.762001,157.5930023,114.0149994,112.2149963,156.8150024,209.4219971,196.9680023,167.2740021,166.3159943,164.2839966,163.3939972,159.0740051,154.5090027,114.6070023,116.0110016,119.7020035,108.8270035,340.6430054,349.2860107,328.8089905,349.3840027,320.2309875,344.5109863,333.0090027,308.1229858,352.1199951,366.6340027,356.3160095,380.3640137,395.9240112,252.5690002,271.8009949,265.5310059,770.5230103,715.5980225
_353,0,0,0,0,0,0,45.7859993,61.33300018,70.8730011,88.63899994,72.0739975,79.32099915,116.4810028,163.7350006,160.5429993,143.345993,144.973999,141.0240021,148.753006,151.5619965,145.7619934,131.6239929,154.0220032,163.3049927,155.4669952,35.62200165,31.13800049,36.87900162,41.64300156,21.07699966,34.61000061,29.68799973,32.02999878,31.83399963,28.07600021,22.72299957,26.63199997,26.96899986,15.125,14.19699955,14.1079998,36.61999893,30.77599907
_35x,12.17099953,13.06200027,21.43199921,19.63599968,18.98699951,23.84900093,36.91500092,34.77000046,34.51200104,49.97399902,39.61000061,28.82299995,38.47100067,61.13999939,38.67399979,32.73300171,45.32099915,59.29999924,57.48199844,56.35900116,52.06600189,39.18799973,37.90999985,41.15800095,40.56000137,64.15299988,62.86600113,54.79399872,36.05699921,39.49499893,38.16400146,33.71900177,30.31200027,31.55900002,30.29299927,22.81500053,17.95700073,18.18400002,10.19799995,9.57199955,9.512999535,24.69099998,20.75099945
_36,223.2960052,234.5659943,164.5809937,142.5690002,240.897995,270.5159912,329.4169922,428.4830017,463.6719971,420.7189941,343.5020142,366.4320068,401.1749878,470.9379883,394.8139954,431.2640076,477.6719971,543.8920288,510.927002,489.6239929,444.6059875,483.8370056,444.9960022,444.7080078,444.9179993,404.7019958,352.9079895,344.3099976,278.894989,322.098999,370.2380066,341.4049988,336.0270081,329.0650024,332.1350098,298.0849915,314.2399902,277.394989,337.9410095,260.3070068,260.1080017,332.973999,329.3850098
_37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_40x,48.62599945,52.95600128,47.68199921,52.85699844,54.20399857,51.45899963,53.72800064,64.64600372,71.66999817,79.06500244,82.54599762,59.88800049,61.09999847,57.13600159,66.48100281,74.74299622,71.40899658,80.89099884,93.36299896,105.1230011,122.4349976,107.4459991,115.2070007,113.1470032,119.7699966,122.4160004,128.298996,133.0639954,103.9089966,105.9700012,105.6210022,91.98100281,80.56900024,118.5830002,114.7539978,100.1910019,124.2639999,141.4900055,166.8630066,164.0850067,123.5289993,120.1110001,121.4319992
_402,0.097000003,0.101000004,0.128000006,0.186000004,0.541999996,0.688000023,0.834999979,0.941999972,1.182000041,1.437999964,1.307999969,1.906000018,1.690000057,1.258000016,3.229000092,1.896999955,2.903000116,4.559999943,6.215000153,7.354000092,9.772000313,15.06400013,9.447999954,9.977000237,12.09300041,13.32400036,14.67099953,16.20800018,13.65499973,16.95800018,26,21.76000023,18.95199966,28.41600037,26.20899963,26.28800011,26.60199928,28.7840004,14.92099953,25.79100037,30.11499977,28.34399986,25.95299911
_41,17.91600037,19.51000023,17.57999992,19.50399971,20.13100052,19.17499924,17.86499977,19.58200073,20.16900063,20.92499924,20.6590004,16.3390007,17.74399948,17.57299995,22.2670002,25.90999985,25.79800034,30.35099983,36.07799911,41.46900177,49.5019989,45.8429985,46.61800003,39.64899826,43.23799896,42.02199936,46.89199829,49.46900177,42.48300171,43.1969986,37.5359993,34.51599884,26.91600037,40.66699982,40.0890007,38.7480011,39.21099854,44.80699921,46.54000092,50.0530014,40.26699829,38.15800095,37.9640007
_F,646.3560181,795.8690186,1020.262024,884.6550293,1150.359985,1363.031006,1408.555054,1666.151978,2191.177979,2299.714111,2243.010986,2263.101074,2184.23291,2151.981934,2394.967041,2317.842041,2268.821045,2348.102051,2591.009033,2857.952881,3352.396973,3876.456055,4197.120117,4290.153809,4465.023926,4674.828125,4797.380859,4672.26709,3741.037109,3603.611084,3764.145996,3737.569092,4020.775879,4165.609863,4331.87207,4197.62207,4254.570801,4087.884033,4043.10498,3918.236084,3981.47998,3812.499023,3730.037109
_50,93.75700378,98.26399994,80.55500031,85.21099854,86.53900146,118.0179977,126.0350037,137.2689972,167.9179993,172.9329987,199.1150055,187.7319946,237.2519989,265.743988,222.7330017,224.5149994,224.5480042,229.6309967,223.3300018,262.5239868,330.1849976,363.0660095,387.276001,469.1669922,523.5009766,526.8179932,556.2659912,568.4539795,480.7590027,583.3610229,536.0869751,544.6849976,558.4799805,592.6329956,565.210022,562.2089844,579.9329834,552.7869873,542.2050171,519.1660156,525.9689941,507.6820068,505.57901
