EUKLEMS code,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012
_1,10699140,11334974,11554231,12073025,12801869,13678896,15273804,15684346,13668090,15680488,11542341,14012253,15270827,16082603,15565467,16533700,17554267,16486536,18288724,18017490,16708076,17170570,18935653,17939583,17926164,19424032,20065115,20768087,19445782,20973415,21605450,21879453,21175022,19956031,22098985,22237362,21432465,22294736,23740182,24440693,23673051,23063453,23519190
_2,1934953,1844277,1920429,2148720,2050856,1985858,2056010,2105077,2161334,1831380,2168534,2269114,1944549,2358779,2397263,2230658,1949900,2077224,1986279,1883241,1734345,1452151,1528280,1303216,1381703,1286848,1305023,1358351,1371976,1388104,1219529,1210801,1190556,1114551,1144045,1181530,1204952,1714163,1761378,2033232,2101016,2117826,1957431
_B,1115764,1108248,1275251,1537522,1791885,1700824,1687626,1662749,1549041,1710876,1780487,2054802,2087277,2023595,2076235,2179417,2452069,2431095,2433455,2584344,2582890,2830293,2992917,2812492,2835255,2597703,2475478,2820231,2537619,2368844,2204838,2218994,2056666,2067704,2015509,2027747,2147844,2438333,2484377,2540780,2376090,2337557,2282123
_10,1493529,1549603,1516453,1700532,1884157,2146992,2041470,2205721,2304795,2286579,2299097,2383880,2323653,2300768,2444173,2536891,2725283,2714824,2732117,2366763,2096745,1843501,1520494,1233805,957800,750220,614627,557517,543233,512186,511500,374641,297218,283876,289064,293425,310574,372256,345089,329692,264176,264991,266203
_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42609,85453,70298,51053,33259,68090,73127,60524,58285
_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_13,14170,13946,14340,16337,15969,16900,19320,20035,19699,19079,18522,19453,18721,20859,20635,21334,20059,20140,18286,18932,17063,15260,17639,17649,15232,14573,15478,13659,11141,9309,9048,3999,5591,6150,12265,12233,13718,19470,25714,24493,27535,32004,36713
_14,447274,450102,451843,619783,625884,697148,775038,997166,1089564,1012815,932051,882164,674252,831029,858764,932493,970933,965483,990107,1090351,1112766,1233957,1156607,1262409,1513581,1567367,1643597,1667491,1351854,1488008,1516356,1656426,1575927,1604873,1628228,1554691,1594352,1908082,1998765,1904855,1746058,1665702,1690117
_15,1330436,1464245,1575021,1807656,1984361,2091297,2375490,2600708,2974743,3628084,3577006,3557344,3905605,4294596,5024744,5278232,5918315,6307767,6745301,6910347,6925806,7628714,7669502,7828921,8434021,8646082,8980459,9052744,8663438,9064054,9743349,10271694,10351171,9891182,9743032,9889677,9932552,10096969,10102398,9741392,9853940,10098840,10360867
_16,131979,167818,182140,189884,232896,250589,261696,288525,329921,349842,379399,401335,433955,460378,488029,502284,505136,551903,591694,585699,641887,650296,667262,683927,661515,637335,670822,690184,761782,723369,748062,764833,647106,795484,958261,731864,818505,1178168,1298050,1285824,1193320,1196317,1275277
_17,788298,1004942,1342499,1777615,1941694,2300444,2921056,3080584,3538651,3804254,4045602,4465531,4497936,4679593,5137050,5528132,6374681,7193181,7289670,7024783,6887409,6813023,6510268,5947403,6202900,5716242,5874801,6013659,5593399,6925921,7313780,7069030,7068638,6140805,6129201,5550998,5268911,4875554,4741323,3825488,4284440,4119272,3855589
_18,516171,648423,777293,1212097,1438724,1751589,2079538,2244401,2568095,2433021,2376559,2580620,2264265,2310643,2735967,2755083,3250450,3917219,3780240,3552551,3420276,3193961,2978825,2739281,2814467,1969291,1774684,1839580,1150317,1459451,1851538,1735917,1719208,1507073,1486896,1571997,1657355,1863032,1974745,1992417,1974913,2058048,2040710
_19,99155,139115,151083,266772,301782,360221,560304,617152,818392,749598,782914,734093,771660,968555,1184120,1137913,1429550,1670152,1760419,1484015,1724207,1640887,1532805,1097487,856540,1515882,1455859,1258443,1058928,1230721,1306176,1229353,1106440,989309,856680,802239,787657,662493,615988,488032,686034,757470,743277
_20,205388,244226,277938,343526,331504,391829,479523,558765,668626,653768,496387,549712,592073,630615,677602,664869,695878,813811,828601,854580,945843,1034674,1010685,852850,879612,878859,888797,895830,694824,869738,919337,1075381,1097674,1110019,1083910,1117345,1196812,1113428,1054140,1003372,1006451,1015621,888420
_21,129706,153443,170155,215592,259660,270103,354203,417350,482513,512253,553002,657991,661136,801392,968076,1042941,1274864,1520977,1793297,1920713,2037542,2112543,2242621,2447182,2788843,3035587,3065829,3286056,2730912,3340315,3477837,3073913,3660936,3515083,3404925,3330507,3336378,3512037,3573494,3913268,4282587,4214481,4200514
